amc_name,aaum_excl_fof,aaum_fof_domestic,period_label,fy_label,quarter_id,total_aaum,market_share_pct,qoq_growth_pct,yoy_growth_pct,scale_tier,peer_rank,peer_rank_change,peer_quartile,market_share_change_bps,top5_concentration_pct,top10_concentration_pct
Bajaj Finserv Mutual Fund,2013325.84,0.0,January - March 2025,April 2024 - March 2025,2024-Q4,2013325.84,0.29451227411838093,9.085975181533467,,Emerging/Smaller,3,1.0,1,2.897615814471793,55.8900234541502,76.72681350011375
Bajaj Finserv Mutual Fund,2410952.89,0.0,April - June 2025,April 2025 - March 2026,2025-Q1,2410952.89,0.32937222373697694,19.749761419641843,116.49280036475669,Emerging/Smaller,3,0.0,1,3.4859949618596007,56.15527762155252,76.71414862240465
Bajaj Finserv Mutual Fund,2922598.64,0.0,July - September 2025,April 2025 - March 2026,2025-Q2,2922598.64,0.3724651803132048,21.22172324984748,87.43408018381864,Emerging/Smaller,2,1.0,1,4.309295657622786,55.973360163952876,76.3002474428016
Bajaj Finserv Mutual Fund,3211574.77,0.0,October - December 2025,April 2025 - March 2026,2025-Q3,3211574.77,0.3882342498594895,9.887643347428643,74.00947163816218,Emerging/Smaller,2,0.0,1,1.5769069546284709,56.05566905329579,76.16057383422948
Bajaj Finserv Mutual Fund,3062656.74,0.0,January - March 2026,April 2025 - March 2026,2025-Q4,3062656.74,0.36613718323080224,-4.636916175549599,52.119278417446836,Emerging/Smaller,3,-1.0,1,-2.2097066628687267,56.51003534300183,76.33097004073853
Bajaj Finserv Mutual Fund,3302731.8,0.0,April - June 2026,April 2026 - March 2027,2026-Q1,3302731.8,0.38695131242780767,7.838784440465885,36.988649330265424,Emerging/Smaller,3,0.0,1,2.0814129197005427,56.1977348397462,75.76765314278003
Bandhan Mutual Fund,14480458.78,16041.06,April - June 2024,April 2024 - March 2025,2024-Q1,14496499.84,2.426008193563262,,,Mid-sized,5,,2,,56.112502821695514,77.67381388348251
Bandhan Mutual Fund,15685322.65,17017.84,July - September 2024,April 2024 - March 2025,2024-Q2,15702340.49,2.3417143750468967,8.318150334970786,,Mid-sized,5,0.0,2,-8.429381851636508,56.14476667766632,77.2928156151036
Bandhan Mutual Fund,16848058.39,16041.23,October - December 2024,April 2024 - March 2025,2024-Q3,16864099.62,2.4262838552226604,7.398636723868424,,Mid-sized,4,1.0,1,8.456948017576371,55.895949189298236,76.84376973787397
Bandhan Mutual Fund,16716634.89,17249.57,January - March 2025,April 2024 - March 2025,2024-Q4,16733884.46,2.4478573061719784,-0.7721441579102817,,Mid-sized,4,0.0,1,2.157345094931795,55.8900234541502,76.72681350011375
Bandhan Mutual Fund,17687954.28,49865.12,April - June 2025,April 2025 - March 2026,2025-Q1,17737819.400000002,2.4232514223962673,5.999413599393288,22.359325325250403,Mid-sized,4,0.0,1,-2.4605883775711046,56.15527762155252,76.71414862240465
Bandhan Mutual Fund,18637760.06,133851.23,July - September 2025,April 2025 - March 2026,2025-Q2,18771611.29,2.3923132955058244,5.82817913908853,19.54658161918381,Mid-sized,4,0.0,1,-3.093812689044295,55.973360163952876,76.3002474428016
Bandhan Mutual Fund,19782386.51,189764.06,October - December 2025,April 2025 - March 2026,2025-Q3,19972150.57,2.4143522881843804,6.395504687653264,18.42998452353781,Mid-sized,4,0.0,1,2.2038992678556024,56.05566905329579,76.16057383422948
Bandhan Mutual Fund,19532508.97,196171.37,January - March 2026,April 2025 - March 2026,2025-Q4,19728680.34,2.358541639422675,-1.2190486404889955,17.896597094109488,Mid-sized,4,0.0,1,-5.581064876170538,56.51003534300183,76.33097004073853
Bandhan Mutual Fund,20404604.97,196260.9,April - June 2026,April 2026 - March 2027,2026-Q1,20600865.869999997,2.4136177468439093,4.420901524931886,16.14091566407534,Mid-sized,4,0.0,1,5.5076107421234255,56.1977348397462,75.76765314278003
Bank of India Mutual Fund,795028.52,0.0,April - June 2024,April 2024 - March 2025,2024-Q1,795028.52,0.1330490618372934,,,Emerging/Smaller,7,,2,,56.112502821695514,77.67381388348251
Bank of India Mutual Fund,1033572.97,0.0,July - September 2024,April 2024 - March 2025,2024-Q2,1033572.97,0.1541383389979537,30.004514806588322,,Emerging/Smaller,8,-1.0,2,2.108927716066031,56.14476667766632,77.2928156151036
Bank of India Mutual Fund,1150332.71,0.0,October - December 2024,April 2024 - March 2025,2024-Q3,1150332.71,0.1655014940197282,11.296709897512125,,Emerging/Smaller,8,0.0,2,1.1363155021774485,55.895949189298236,76.84376973787397
Bank of India Mutual Fund,1151835.95,0.0,January - March 2025,April 2024 - March 2025,2024-Q4,1151835.95,0.16849226206017684,0.13067871468246395,,Emerging/Smaller,7,1.0,2,0.2990768040448649,55.8900234541502,76.72681350011375
Bank of India Mutual Fund,1245769.25,0.0,April - June 2025,April 2025 - March 2026,2025-Q1,1245769.25,0.17019071166324032,8.15509361380846,56.69491328436871,Emerging/Smaller,7,0.0,2,0.16984496030634788,56.15527762155252,76.71414862240465
Bank of India Mutual Fund,1342849.9,0.0,July - September 2025,April 2025 - March 2026,2025-Q2,1342849.9,0.17113702281647164,7.792827604309549,29.923086127145915,Emerging/Smaller,7,0.0,1,0.09463111532313218,55.973360163952876,76.3002474428016
Bank of India Mutual Fund,1387105.96,0.0,October - December 2025,April 2025 - March 2026,2025-Q3,1387105.96,0.16768161429298656,3.295681818198748,20.583023323747796,Emerging/Smaller,7,0.0,1,-0.3455408523485082,56.05566905329579,76.16057383422948
Bank of India Mutual Fund,1417087.27,0.0,January - March 2026,April 2025 - March 2026,2025-Q4,1417087.27,0.16941119605523514,2.1614289653834495,23.028567566414292,Emerging/Smaller,8,-1.0,2,0.17295817622485776,56.51003534300183,76.33097004073853
Bank of India Mutual Fund,1544585.47,0.0,April - June 2026,April 2026 - March 2027,2026-Q1,1544585.47,0.18096515580630015,8.99720170374545,23.986482247815964,Emerging/Smaller,8,0.0,1,1.1553959751065017,56.1977348397462,75.76765314278003
Baroda BNP Paribas Mutual Fund,3850222.64,0.0,April - June 2024,April 2024 - March 2025,2024-Q1,3850222.64,0.6443397906237465,,,Mid-sized,14,,4,,56.112502821695514,77.67381388348251
Baroda BNP Paribas Mutual Fund,4517419.41,0.0,July - September 2024,April 2024 - March 2025,2024-Q2,4517419.41,0.6736897583675355,17.328784134935127,,Mid-sized,14,0.0,4,2.9349967743789063,56.14476667766632,77.2928156151036
Baroda BNP Paribas Mutual Fund,4679090.1,0.0,October - December 2024,April 2024 - March 2025,2024-Q3,4679090.1,0.6731934121936942,3.578828426736669,,Mid-sized,14,0.0,4,-0.04963461738413111,55.895949189298236,76.84376973787397
Baroda BNP Paribas Mutual Fund,4554083.03,0.0,January - March 2025,April 2024 - March 2025,2024-Q4,4554083.03,0.6661779842299282,-2.6716106620814917,,Mid-sized,14,0.0,4,-0.7015427963765974,55.8900234541502,76.72681350011375
Baroda BNP Paribas Mutual Fund,4835656.38,8457.71,April - June 2025,April 2025 - March 2026,2025-Q1,4844114.09,0.661778434774361,6.368594030662633,25.81386955846272,Mid-sized,14,0.0,4,-0.43995494555671977,56.15527762155252,76.71414862240465
Baroda BNP Paribas Mutual Fund,5050075.59,25246.72,July - September 2025,April 2025 - March 2026,2025-Q2,5075322.31,0.6468150684357332,4.772972223699212,12.35003548187259,Mid-sized,14,0.0,4,-1.4963366338627826,55.973360163952876,76.3002474428016
Baroda BNP Paribas Mutual Fund,5314357.97,33653.85,October - December 2025,April 2025 - March 2026,2025-Q3,5348011.819999999,0.6464994608166581,5.372851088939012,14.295978613448801,Mid-sized,14,0.0,4,-0.031560761907512,56.05566905329579,76.16057383422948
Baroda BNP Paribas Mutual Fund,5460795.4,39894.38,January - March 2026,April 2025 - March 2026,2025-Q4,5500689.78,0.657601302676728,2.854854572853216,20.785891336724262,Mid-sized,14,0.0,4,1.1101841860069905,56.51003534300183,76.33097004073853
Baroda BNP Paribas Mutual Fund,5314857.89,39727.35,April - June 2026,April 2026 - March 2027,2026-Q1,5354585.239999999,0.6273484834961675,-2.65611306660527,10.537967118771952,Mid-sized,14,0.0,4,-3.0252819180560553,56.1977348397462,75.76765314278003
Canara Robeco Mutual Fund,9468468.68,0.0,April - June 2024,April 2024 - March 2025,2024-Q1,9468468.68,1.5845606078506411,,,Mid-sized,8,,3,,56.112502821695514,77.67381388348251
Canara Robeco Mutual Fund,10684015.92,0.0,July - September 2024,April 2024 - March 2025,2024-Q2,10684015.92,1.5933238537928236,12.837844017666434,,Mid-sized,8,0.0,3,0.8763245942182474,56.14476667766632,77.2928156151036
Canara Robeco Mutual Fund,10836626.98,0.0,October - December 2024,April 2024 - March 2025,2024-Q3,10836626.98,1.5590949815940602,1.4284053968350863,,Mid-sized,8,0.0,3,-3.422887219876336,55.895949189298236,76.84376973787397
Canara Robeco Mutual Fund,10334427.39,0.0,January - March 2025,April 2024 - March 2025,2024-Q4,10334427.39,1.511735284905589,-4.634279568050614,,Mid-sized,9,-1.0,3,-4.735969668847129,55.8900234541502,76.72681350011375
Canara Robeco Mutual Fund,11105244.9,0.0,April - June 2025,April 2025 - March 2026,2025-Q1,11105244.9,1.5171425468445061,7.458734585971083,17.28659908288359,Mid-sized,10,-1.0,3,0.5407261938917163,56.15527762155252,76.71414862240465
Canara Robeco Mutual Fund,11972686.35,0.0,July - September 2025,April 2025 - March 2026,2025-Q2,11972686.35,1.5258368765223935,7.811096988955191,12.061667070222782,Mid-sized,11,-1.0,3,0.8694329677887414,55.973360163952876,76.3002474428016
Canara Robeco Mutual Fund,12225362.95,0.0,October - December 2025,April 2025 - March 2026,2025-Q3,12225362.95,1.4778745488006326,2.1104419894871773,12.815205068542458,Mid-sized,11,0.0,3,-4.79623277217609,56.05566905329579,76.16057383422948
Canara Robeco Mutual Fund,11748293.85,0.0,January - March 2026,April 2025 - March 2026,2025-Q4,11748293.85,1.4044953722129359,-3.902289870256981,13.681130135648466,Mid-sized,11,0.0,3,-7.337917658769677,56.51003534300183,76.33097004073853
Canara Robeco Mutual Fund,11872752.79,0.0,April - June 2026,April 2026 - March 2027,2026-Q1,11872752.79,1.3910234171062317,1.059378847593262,6.911219850721162,Mid-sized,11,0.0,3,-1.347195510670418,56.1977348397462,75.76765314278003
Capitalmind Mutual Fund,0.0,0.0,April - June 2025,April 2025 - March 2026,2025-Q1,0.0,0.0,,,Emerging/Smaller,24,,4,,56.15527762155252,76.71414862240465
Capitalmind Mutual Fund,6919.04,0.0,July - September 2025,April 2025 - March 2026,2025-Q2,6919.04,0.0008817842607338913,inf,,Emerging/Smaller,25,-1.0,4,0.08817842607338913,55.973360163952876,76.3002474428016
Capitalmind Mutual Fund,23333.2,0.0,October - December 2025,April 2025 - March 2026,2025-Q3,23333.2,0.0028206559235179943,237.23175469429285,,Emerging/Smaller,26,-1.0,4,0.1938871662784103,56.05566905329579,76.16057383422948
Capitalmind Mutual Fund,47211.4,0.0,January - March 2026,April 2025 - March 2026,2025-Q4,47211.4,0.005644069995380121,102.33572763272933,,Emerging/Smaller,26,0.0,4,0.28234140718621265,56.51003534300183,76.33097004073853
Capitalmind Mutual Fund,56913.99,0.0,April - June 2026,April 2026 - March 2027,2026-Q1,56913.99,0.006668099155372871,20.551371067157497,inf,Emerging/Smaller,27,-1.0,4,0.10240291599927501,56.1977348397462,75.76765314278003
Choice Mutual Fund,3924.37,0.0,October - December 2025,April 2025 - March 2026,2025-Q3,3924.37,0.0004744011745742681,,,Emerging/Smaller,28,,4,,56.05566905329579,76.16057383422948
Choice Mutual Fund,6943.49,0.0,January - March 2026,April 2025 - March 2026,2025-Q4,6943.49,0.0008300864531071291,76.93260319490771,,Emerging/Smaller,28,0.0,4,0.035568527853286104,56.51003534300183,76.33097004073853
Choice Mutual Fund,8255.7,0.0,April - June 2026,April 2026 - March 2027,2026-Q1,8255.7,0.0009672459477364322,18.8984213990371,,Emerging/Smaller,28,0.0,4,0.01371594946293031,56.1977348397462,75.76765314278003
DSP Mutual Fund,15635873.5,8842.6,April - June 2024,April 2024 - March 2025,2024-Q1,15644716.1,2.61816368526729,,,Mid-sized,2,,1,,56.112502821695514,77.67381388348251
DSP Mutual Fund,18243163.66,9581.81,July - September 2024,April 2024 - March 2025,2024-Q2,18252745.47,2.7220602227032153,16.670352810045564,,Mid-sized,2,0.0,1,10.38965374359253,56.14476667766632,77.2928156151036
DSP Mutual Fund,19268989.18,9781.97,October - December 2024,April 2024 - March 2025,2024-Q3,19278771.15,2.773689212218814,5.621212883762405,,Mid-sized,2,0.0,1,5.16289895155988,55.895949189298236,76.84376973787397
DSP Mutual Fund,18731128.05,12502.29,January - March 2025,April 2024 - March 2025,2024-Q4,18743630.34,2.741845898460073,-2.775803529365506,,Mid-sized,3,-1.0,1,-3.1843313758741054,55.8900234541502,76.72681350011375
DSP Mutual Fund,19754067.64,71498.74,April - June 2025,April 2025 - March 2026,2025-Q1,19825566.38,2.708468884858902,5.7722864801227125,26.723720988455636,Mid-sized,2,1.0,1,-3.337701360117107,56.15527762155252,76.71414862240465
DSP Mutual Fund,21109674.76,186340.23,July - September 2025,April 2025 - March 2026,2025-Q2,21296014.990000002,2.714031257881877,7.416931157555173,16.672941202198245,Mid-sized,3,-1.0,1,0.556237302297502,55.973360163952876,76.3002474428016
DSP Mutual Fund,22199562.54,267331.98,October - December 2025,April 2025 - March 2026,2025-Q3,22466894.52,2.715931767219754,5.498115635952594,16.5369636124344,Mid-sized,3,0.0,1,0.19005093378767768,56.05566905329579,76.16057383422948
DSP Mutual Fund,22539962.94,322270.95,January - March 2026,April 2025 - March 2026,2025-Q4,22862233.89,2.7331544568877755,1.7596529402319927,21.973350281085423,Mid-sized,2,1.0,1,1.7222689668021651,56.51003534300183,76.33097004073853
DSP Mutual Fund,22980159.81,349467.04,April - June 2026,April 2026 - March 2027,2026-Q1,23329626.849999998,2.7333220723700666,2.044388847777623,17.67445329347508,Mid-sized,1,1.0,1,0.01676154822911613,56.1977348397462,75.76765314278003
Edelweiss Mutual Fund,13188859.67,2288357.71,April - June 2024,April 2024 - March 2025,2024-Q1,15477217.379999999,2.5901325555727888,,,Mid-sized,3,,1,,56.112502821695514,77.67381388348251
Edelweiss Mutual Fund,14179002.79,2289850.94,July - September 2024,April 2024 - March 2025,2024-Q2,16468853.729999999,2.4560256825819025,6.407071281956744,,Mid-sized,4,-1.0,1,-13.41068729908863,56.14476667766632,77.2928156151036
Edelweiss Mutual Fund,14274328.27,2277255.05,October - December 2024,April 2024 - March 2025,2024-Q3,16551583.32,2.381321285606156,0.5023396974453753,,Mid-sized,5,-1.0,2,-7.47043969757466,55.895949189298236,76.84376973787397
Edelweiss Mutual Fund,14283148.9,2289616.09,January - March 2025,April 2024 - March 2025,2024-Q4,16572764.99,2.4242885124021387,0.12797367835140072,,Mid-sized,5,0.0,2,4.296722679598286,55.8900234541502,76.72681350011375
Edelweiss Mutual Fund,14815795.08,2209657.18,April - June 2025,April 2025 - March 2026,2025-Q1,17025452.26,2.3259314166872587,2.731513240386585,10.003315466775486,Mid-sized,5,0.0,2,-9.835709571488005,56.15527762155252,76.71414862240465
Edelweiss Mutual Fund,15658619.65,2209172.84,July - September 2025,April 2025 - March 2026,2025-Q2,17867792.490000002,2.2771277795389575,4.947535120573643,8.494451301438598,Mid-sized,5,0.0,2,-4.880363714830116,55.973360163952876,76.3002474428016
Edelweiss Mutual Fund,16414942.26,2288420.08,October - December 2025,April 2025 - March 2026,2025-Q3,18703362.34,2.260973624450327,4.676402249845002,13.000442183678661,Mid-sized,5,0.0,2,-1.6154155088630606,56.05566905329579,76.16057383422948
Edelweiss Mutual Fund,16567020.68,2403721.41,January - March 2026,April 2025 - March 2026,2025-Q4,18970742.09,2.2679309704915287,1.4295811904802225,14.469384568277754,Mid-sized,5,0.0,2,0.6957346041201795,56.51003534300183,76.33097004073853
Edelweiss Mutual Fund,17095115.28,2414085.28,April - June 2026,April 2026 - March 2027,2026-Q1,19509200.560000002,2.2857171633219875,2.8383627137276823,14.588442421793268,Mid-sized,5,0.0,2,1.7786192830458791,56.1977348397462,75.76765314278003
Franklin Templeton Mutual Fund,9533885.08,136150.78,April - June 2024,April 2024 - March 2025,2024-Q1,9670035.86,1.6182931388498925,,,Mid-sized,7,,2,,56.112502821695514,77.67381388348251
Franklin Templeton Mutual Fund,11033564.2,138700.24,July - September 2024,April 2024 - March 2025,2024-Q2,11172264.44,1.6661371123390576,15.534881170544068,,Mid-sized,7,0.0,2,4.784397348916514,56.14476667766632,77.2928156151036
Franklin Templeton Mutual Fund,11263803.99,137724.0,October - December 2024,April 2024 - March 2025,2024-Q3,11401527.99,1.6403688255137499,2.052077725435586,,Mid-sized,7,0.0,2,-2.576828682530774,55.895949189298236,76.84376973787397
Franklin Templeton Mutual Fund,10689403.2,132487.09,January - March 2025,April 2024 - March 2025,2024-Q4,10821890.29,1.583042077067627,-5.0838598169332005,,Mid-sized,7,0.0,2,-5.732674844612284,55.8900234541502,76.72681350011375
Franklin Templeton Mutual Fund,11427163.8,136889.2,April - June 2025,April 2025 - March 2026,2025-Q1,11564053.0,1.5798225953814713,6.857976657606657,19.586454149922883,Mid-sized,9,-2.0,3,-0.3219481686155712,56.15527762155252,76.71414862240465
Franklin Templeton Mutual Fund,12220985.47,137129.19,July - September 2025,April 2025 - March 2026,2025-Q2,12358114.66,1.5749570749024093,6.866638020424154,10.614233366642377,Mid-sized,10,-1.0,3,-0.4865520479061969,55.973360163952876,76.3002474428016
